"","Event","Site","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl","Termination","pgn"
"beta56","Live Chess","Chess.com","2014.11.27","thinkboolean","rayleymail","0-1","1206","1281","10|0","rayleymail won by checkmate"," 1.e3 d5 2.Qh5 Nf6 3.Qh4 Bf5 4.Bd3 Qd7 5.Nc3 e6 6.Nf3 Be7 7.Ne5 Qd6 8.Qd4 Bxd3 9.cxd3 c5 10.Qa4+ Nc6 11.Nxc6 bxc6 12.b3 O-O 13.Ba3 d4 14.Ne4 dxe3 15.Nxc5 exf2+ 16.Kxf2 Qe5 17.Qxc6 Ng4+ 18.Kf3 Qf5+ 19.Kg3 Qg5 20.Nxe6 Qh4+ 21.Kf4 fxe6+ 22.Ke4 Bxa3 23.Qxe6+ Kh8 24.Qd7 Nf2+ 25.Ke3 Rae8+ 26.Qxe8 Rxe8+ 27.Kf3 Nxh1 28.g3 Qf6+ 29.Kg2 Qf2+ 30.Kxh1 Re1+ 31.Rxe1 Qxe1+ 32.Kg2 Qxd2+ 33.Kh3 Qxd3 34.Kh4 Qc2 35.g4 Qxh2+ 36.Kg5 Qxa2 37.Kf4 Qxb3 38.g5 Bc1+ 39.Kf5 Qb5+ 40.Kg4 Qxg5+ 41.Kf3 Qe3+ 42.Kg4 Qf4+ 43.Kh3 Qf8 44.Kg2 a5 45.Kg3 a4 46.Kg4 a3 47.Kh5 a2 48.Kh4 a1=Q 49.Kg4 Qf4+ 50.Kh3 Qc3+ 51.Kg2 Qcd2+ 52.Kg1 Qff2+ 53.Kh1 Qg2# 0-1 "
"beta57","Live Chess","Chess.com","2014.12.11","handerbenitez","thinkboolean","0-1","1191","1234","10|0","thinkboolean won by resignation"," 1.e4 e6 2.Nc3 Qg5 3.Nf3 Qa5 4.d3 Nc6 5.Bd2 Qb4 6.Rb1 Qa5 7.a3 Nf6 8.Nd5 Qb6 9.Nxb6 axb6 10.Be2 Na5 11.Ne5 d5 12.exd5 Nxd5 13.Bxa5 Rxa5 14.c4 Nf4 15.Nxf7 Kxf7 16.O-O Bd6 17.b4 Rg5 18.Bf3 e5 19.Qb3 Be6 20.Qd1 Rd8 21.Re1 c5 22.g3 cxb4 23.Bd5 Bxd5 24.cxd5 Nxd5 25.axb4 Nxb4 26.Qb3+ Kf6 27.f4 Rh5 28.fxe5+ Rxe5 29.Rxe5 Kxe5 30.d4+ Kf6 31.Rf1+ Kg6 32.Qf7+ Kh6 33.Qxb7 Rb8 34.Qd7 Bf8 35.Rf5 g6 36.Qe6 Bg7 37.g4 Bxd4+ 38.Kg2 Nc2 39.Rh5+ Kg7 40.Rh3 Rf8 41.Qd7+ Rf7 42.Rf3 Ne3+ 43.Kh3 Rxd7 44.Rxe3 Bxe3 45.Kh4 b5 46.h3 b4 47.g5 b3 48.Kg4 Rd4+ 49.Kf3 Bxg5 50.h4 Rxh4 51.Ke2 b2 52.Kd1 b1=N 0-1 "
"beta58","Live Chess","Chess.com","2014.12.11","thinkboolean","BielCampista","0-1","1210","1276","10|0","BielCampista won by checkmate"," 1.e3 e5 2.Qg4 d5 3.Qa4+ Bd7 4.Bb5 c6 5.Be2 b5 6.Qb3 a5 7.Qd3 Nf6 8.Nf3 e4 9.Qc3 exf3 10.Bxf3 Bb4 11.Qe5+ Be6 12.c3 Bd6 13.Qg5 O-O 14.d4 h6 15.Qh4 Bf5 16.g4 Bg6 17.Nd2 Re8 18.Nf1 Nbd7 19.Bd2 c5 20.Ke2 cxd4 21.cxd4 Bb4 22.a3 Bxd2 23.Nxd2 b4 24.Rag1 bxa3 25.bxa3 Qb6 26.g5 Qb5+ 27.Ke1 Ne4 28.Be2 Qb2 29.Nxe4 Bxe4 30.gxh6 g6 31.h7+ Kh8 32.f3 Qc1+ 33.Kf2 Qxa3 34.fxe4 Rxe4 35.Rg4 Qxe3+ 36.Kg2 Qxe2+ 37.Kh3 Rxg4 38.Qxg4 Qxg4+ 39.Kxg4 Kxh7 40.Rf1 Kg7 41.h4 Nf6+ 42.Kg5 Ne4+ 43.Kf4 Nd2 44.Re1 Nb3 45.Ke5 Rd8 46.Rb1 f6+ 47.Ke6 Nxd4+ 48.Ke7 Nc6+ 49.Ke6 Kf8 50.Rf1 f5 51.Kf6 Rd6+ 52.Kg5 d4 53.h5 d3 54.hxg6 Kg7 55.Kxf5 d2 56.Rd1 a4 57.Ke4 a3 58.Ke3 a2 59.Ke4 Nb4 60.Ke3 Rd3+ 61.Ke2 Kxg6 62.Rxd2 Rxd2+ 63.Kxd2 a1=Q 64.Ke3 Qe5+ 65.Kf3 Nd3 66.Kg4 Qf4+ 67.Kh3 Nf2+ 68.Kg2 Ng4 69.Kh3 Qf3+ 70.Kh4 Kf5 71.Kh5 Nf6+ 72.Kh6 Qh5+ 73.Kg7 Qg6+ 74.Kf8 Qe8+ 75.Kg7 Nh5+ 76.Kh6 Qg6# 0-1 "
"beta59","Live Chess","Chess.com","2014.12.11","rooot044","thinkboolean","1-0","1232","1186","10|0","rooot044 won by resignation"," 1.e4 e6 2.e5 Qg5 3.d4 Qh4 4.Nf3 Qe4+ 5.Be2 Nc6 6.Nc3 Qg6 7.O-O Be7 8.Bd3 f5 9.Re1 Qg4 10.Nb5 Bd8 11.Be2 Qg6 12.Bd3 a6 13.Nc3 b5 14.Qd2 Bb7 15.d5 Nce7 16.Qf4 Nxd5 17.Nxd5 Bxd5 18.c4 bxc4 19.Bxc4 Bxc4 20.Qxc4 Be7 21.Qxc7 Nh6 22.Rd1 Bd8 23.Qxd7+ Kf8 24.h3 Nf7 25.Be3 Kg8 26.Qb7 Nxe5 27.Nxe5 Qe8 28.Qxa8 1-0 "
"beta60","Live Chess","Chess.com","2014.12.11","thinkboolean","Jhlobik","1-0","1215","1258","10|0","thinkboolean won by resignation"," 1.e3 d5 2.Qh5 Nf6 3.Qh4 e6 4.Nc3 Be7 5.Nf3 Ne4 6.Qf4 Nxc3 7.bxc3 Bf6 8.Qa4+ Bd7 9.Qb4 b6 10.Ba3 a5 11.Qb3 a4 12.Qb4 Be7 13.Qb2 b5 14.Bxe7 Qxe7 15.Bxb5 c6 16.Bd3 O-O 17.c4 a3 18.Qc3 Na6 19.cxd5 cxd5 20.Bxa6 Rxa6 21.Ke2 Bb5+ 22.d3 Rfa8 23.Rab1 Be8 24.h4 f6 25.h5 h6 26.Rh4 e5 27.Qd2 Bf7 28.Ne1 Ra4 29.Nf3 Rxh4 30.Nxh4 Bxh5+ 31.f3 Bf7 32.Nf5 Qe6 33.g4 Bg6 34.Ng3 Kh7 35.Qc3 d4 36.Qc7 dxe3 37.Rb7 Rg8 38.Ra7 Qxa2 39.Nf1 Qb2 40.Qc4 h5 41.Nxe3 h4 42.Nd5 h3 43.Nxf6+ Kh6 44.Nxg8+ Kg5 45.Rxg7 Kh4 46.Rxg6 h2 47.Rh6+ Kg3 48.Qc6 a2 49.f4 Qxc2+ 50.Qxc2 a1=Q 51.fxe5 Qxe5+ 52.Kd2 Qf4+ 53.Kc3 Qc7+ 54.Kd2 Qa5+ 55.Ke3 Qe1+ 56.Qe2 h1=Q 57.Rxh1 Qxh1 58.Nf6 Qg1+ 59.Kd2 Qd4 60.Qe3+ Qxe3+ 61.Kxe3 Kh4 62.d4 Kg5 63.Ne4+ Kxg4 64.d5 Kf5 65.Kd4 Kg6 66.d6 Kf7 67.Kc5 Ke8 68.Kc6 Kd8 69.Nc5 Kc8 70.Ne6 Kb8 71.d7 Ka7 72.d8=Q 1-0 "
"beta61","Live Chess","Chess.com","2014.12.11","msnag","thinkboolean","1-0","1285","1197","10|0","msnag won by resignation"," 1.e3 e6 2.b3 Qg5 3.Bb2 Nc6 4.Nf3 Qc5 5.Ba3 Nb4 6.c3 Qa5 7.cxb4 Bxb4 8.Bxb4 Qxb4 9.Nc3 Nf6 10.a3 Qa5 11.b4 Qh5 12.Ne2 b6 13.Ng3 Qg6 14.Qb1 Qh6 15.h3 Bb7 16.Be2 Ng4 17.Qc1 Bxf3 18.Bxf3 Ne5 19.Bxa8 1-0 "
"beta62","Live Chess","Chess.com","2014.12.12","Animado","thinkboolean","0-1","1124","1214","10|0","thinkboolean won by resignation"," 1.e4 e6 2.d4 Qh4 3.e5 Nc6 4.Nf3 Qe4+ 5.Qe2 Qd5 6.Qd3 b6 7.Nc3 Bb4 8.Bd2 Qa5 9.Be2 Nb8 10.O-O Ba6 11.a3 Bxd3 12.Bxd3 Na6 13.axb4 Qxb4 14.Ne4 Qe7 15.Rxa6 f5 16.Bg5 Qf7 17.Nc3 h6 18.Bf4 Ne7 19.Rfa1 Nc6 20.Bb5 Nb4 21.Rxa7 Rxa7 22.Rxa7 Ke7 23.Rxc7 Rd8 24.Rb7 Nxc2 25.Rxb6 g5 26.Bd2 Qh5 27.Rb7 g4 28.Ne1 Nxd4 29.Ba4 Qg6 30.Nb5 Nxb5 31.Bxb5 h5 32.Bc3 h4 33.Bb4+ Ke8 34.Bd6 g3 35.fxg3 hxg3 36.h3 Qg5 37.Bb4 Qe3+ 38.Kh1 f4 39.h4 Qxe5 40.Bc3 Qe4 41.h5 Qxb7 0-1 "
"beta63","Live Chess","Chess.com","2014.12.12","thinkboolean","ynui3","1-0","1236","1235","10|0","thinkboolean won by checkmate"," 1.e3 c5 2.Qg4 Nc6 3.Nc3 e6 4.Nf3 Nf6 5.Qa4 d5 6.Bb5 Bd7 7.b3 a6 8.Bxc6 Bxc6 9.Qf4 Bd6 10.Ne5 d4 11.exd4 cxd4 12.Qxd4 Bxg2 13.Rg1 Bxe5 14.Qxe5 Bd5 15.Rxg7 Qb6 16.Qxf6 Rd8 17.Qxf7# 1-0 "
"beta64","Live Chess","Chess.com","2014.12.12","thinkboolean","Ibrahim122014","1-0","1252","1164","10|0","thinkboolean won by resignation"," 1.e3 b6 2.Qg4 Bb7 3.Nc3 g6 4.b3 Bg7 5.Bb2 e6 6.Bd3 Nc6 7.Nf3 Qe7 8.Bb5 O-O-O 9.Na4 f6 10.Ke2 h5 11.Qe4 Nb4 12.Qc4 d5 13.Qc3 e5 14.Ba3 a5 15.Qb2 f5 16.c3 e4 17.Nd4 Na6 18.Bxe7 Nxe7 19.Bxa6 Bxa6+ 20.Kd1 g5 21.Kc2 f4 22.Rhc1 fxe3 23.fxe3 Rhf8 24.c4 dxc4 25.bxc4 Bxc4 26.Nxb6+ cxb6 27.Kb1 Kb7 28.Rxc4 Nd5 29.Qb5 Be5 30.Qc6+ Ka6 31.Rc5 Nb4 32.Qb5+ Kb7 33.Rxe5 Rf1+ 34.Kb2 Rf2 35.Re7+ Ka8 36.Ra7+ Kxa7 37.Kc3 Rc8+ 38.Kb3 Rxd2 39.Qd7+ Kb8 40.Qd6+ Kb7 41.Qd5+ Ka6 42.Qxe4 Rd3+ 43.Kb2 Rc2+ 44.Nxc2 1-0 "
"beta65","Live Chess","Chess.com","2014.12.12","reeses-pieces","thinkboolean","1-0","1321","1237","5|0","reeses-pieces won by checkmate"," 1.d4 e6 2.Nf3 Qf6 3.h3 Nc6 4.Bg5 Qg6 5.Bf4 Bd6 6.Ne5 Qf5 7.Nxc6 bxc6 8.Bxd6 cxd6 9.e3 Bb7 10.Nd2 Qa5 11.Bd3 Nf6 12.O-O c5 13.Nb3 Qb6 14.dxc5 dxc5 15.Qe2 Qc6 16.e4 d5 17.f3 dxe4 18.Bxe4 Qa6 19.Qxa6 Bxa6 20.Rfe1 Rd8 21.Nxc5 Bc4 22.b3 Bb5 23.c4 Ba6 24.Nxa6 Rd2 25.Nc7+ Ke7 26.Nb5 a6 27.Nc7 Rhd8 28.Nxa6 Rb2 29.Nc5 Rdd2 30.f4 Nxe4 31.Nxe4 Rxg2+ 32.Kh1 Rh2+ 33.Kg1 Rxh3 34.a4 Rf3 35.a5 Rbxb3 36.a6 Rxf4 37.a7 Rg4+ 38.Kf1 Rb2 39.a8=Q Rf4+ 40.Kg1 Rxe4 41.Qxe4 Rd2 42.Qxh7 g6 43.Rf1 Rd8 44.Qxf7+ Kd6 45.Qxg6 Rc8 46.Ra6+ Kc5 47.Qg5+ Kxc4 48.Rc1+ Kd4 49.Rxc8 Ke4 50.Ra4+ Kd3 51.Qg3+ Ke2 52.Ra2+ Kd1 53.Rd8+ Kc1 54.Qe1# 1-0 "
"beta66","Live Chess","Chess.com","2014.12.12","thinkboolean","more_rice","1-0","1252","1182","5|0","thinkboolean won by resignation"," 1.e3 e5 2.Qg4 Nf6 3.Qh4 Be7 4.Nf3 Nc6 5.b3 d6 6.Bb2 Nd5 7.Qa4 Bd7 8.Bd3 f5 9.Bc3 O-O 10.Bc4 Be6 11.Qb5 Qc8 12.Bxd5 a6 13.Bxe6+ Qxe6 14.Qxb7 Rab8 15.Qxc6 Qd5 1-0 "
"beta67","Live Chess","Chess.com","2014.12.12","thinkboolean","bderas","1-0","1269","1262","5|0","thinkboolean won on time"," 1.e3 e5 2.Qg4 d5 3.Qa4+ Qd7 4.Bb5 c6 5.Be2 Bc5 6.Nf3 f6 7.Qh4 Ne7 8.h3 Ng6 9.Qa4 b5 10.Qb3 a5 11.Na3 Qd6 12.d4 Bxa3 13.bxa3 e4 14.Nd2 O-O 15.Nf1 Be6 16.f3 exf3 17.Bxf3 Nd7 18.a4 b4 19.c3 Nb6 20.Ke2 Nc4 21.cxb4 Qxb4 22.Qc2 Rfc8 23.Nd2 Ne7 24.Nxc4 Qxc4+ 25.Qd3 Qxa4 26.Ba3 Ng6 27.Rhc1 Qb5 28.Bd6 Qxd3+ 29.Kxd3 Nh4 30.e4 Nxf3 31.gxf3 dxe4+ 32.fxe4 Bxh3 33.Rab1 Be6 34.Rb2 h6 35.Rbc2 1-0 "
"beta68","Live Chess","Chess.com","2014.12.13","romeljubac","thinkboolean","0-1","1277","1286","5|0","thinkboolean won on time"," 1.e4 e6 2.d4 Qh4 3.Nc3 Nc6 4.Nf3 Qh5 5.Be2 Nf6 6.Ne5 Qh4 7.g3 Qh3 8.Bf1 Qh5 9.Be2 Qh3 10.Bf1 Qh5 11.Bg2 Nxe5 12.dxe5 Qxe5 13.Bf4 Qc5 14.O-O Bd6 15.Bxd6 cxd6 16.Re1 d5 17.exd5 Qb6 18.dxe6 dxe6 19.Nd5 Qa5 20.Nxf6+ gxf6 21.Qf3 Qg5 22.Rad1 e5 23.Rd6 Ke7 24.Red1 f5 25.h4 Qg7 26.Qxf5 Bxf5 27.Bxb7 Bxc2 28.Rd7+ Ke6 29.R1d6+ Kf5 30.Bf3 Be4 31.g4+ Kf4 32.Be2 Qxg4+ 33.Bxg4 Kxg4 34.Rxf7 Rhg8 35.Kf1 Bh1 0-1 "
"beta69","Live Chess","Chess.com","2014.12.13","ajhawk5544","thinkboolean","0-1","1255","1300","5|0","thinkboolean won on time"," 1.e4 e6 2.Nf3 Qf6 3.d4 Nc6 4.e5 Qf5 5.Bd3 Qh5 6.Nc3 f5 7.Nb5 Kd8 8.Be2 Qg4 9.Ng5 Qxg2 10.Rf1 Nh6 11.Bh5 Qxh2 12.Nf7+ Nxf7 13.Bxf7 f4 14.Qf3 g5 15.Bd2 h5 16.Rh1 g4 17.Rxh2 gxf3 18.Bxf4 Nb4 19.Kd2 a6 20.Nc3 b5 21.Rxh5 Bg7 22.Rxh8+ Bxh8 23.Bh5 Bb7 24.Rg1 Ke7 25.Bg5+ Kf8 26.Bh6+ Ke7 27.Bg5+ Kf8 28.Rg3 Bg7 29.Bxf3 Bxf3 30.Rxf3+ Kg8 31.a3 Nc6 32.Kd3 Kh7 33.Rf7 Kg6 34.Be3 Kxf7 35.Ne4 Rh8 36.Nc5 Nb8 37.a4 b4 38.Kc4 a5 39.Kb5 Nc6 40.Nxd7 Rd8 41.Kxc6 Ke7 42.Nc5 Rc8 43.Nb7 Kf7 44.Nxa5 Kg6 45.Nb7 Kf5 46.Nc5 Bf8 47.Nd7 Be7 48.Kb5 Rd8 49.Nc5 Bxc5 50.dxc5 Ke4 51.Kxb4 Rd1 52.a5 Rb1 0-1 "
"beta70","Live Chess","Chess.com","2014.12.13","thinkboolean","Bob-wins-again","0-1","1287","1338","5|0","Bob-wins-again won on time"," 1.e3 e5 2.Qg4 d5 3.Qa4+ b5 4.Bxb5+ Bd7 5.Bxd7+ Qxd7 6.Nc3 Qxa4 7.Nxa4 Nc6 8.b3 Nb4 9.Kd1 Nf6 10.Bb2 Ne4 11.Nh3 g5 12.f3 g4 13.fxe4 gxh3 14.exd5 hxg2 15.Rg1 Nxd5 16.Bxe5 f6 17.Bf4 Ba3 18.Rxg2 O-O-O 19.Ke2 Nb4 20.c3 Nd5 21.Rag1 Nxf4+ 22.exf4 Rhe8+ 23.Kf3 Rd3+ 24.Kg4 h5+ 25.Kf5 Rd5+ 26.Kg6 Rg8+ 27.Kh6 Rf8 28.Rg8 Rxg8 29.Rxg8+ Kb7 30.Rg6 Rxd2 31.Kxh5 Rxh2+ 32.Kg4 Rg2+ 33.Kf5 Rxa2 34.Rxf6 Rf2 35.Ke5 Bd6+ 36.Ke4 Re2+ 37.Kf3 Rd2 38.b4 Rd3+ 39.Ke4 Rh3 40.Kd5 Rh5+ 41.Ke6 Rh7 42.f5 Re7+ 43.Kd5 Re5+ 44.Kd4 Re1 45.Nc5+ Kc6 46.Ne4 Rd1+ 47.Kc4 Re1 48.Ng5 Kd7 49.Rf7+ Ke8 50.f6 Bf4 51.Rg7 Bxg5 52.Rxg5 Kf7 53.Rc5 Kxf6 54.Rxc7 Re4+ 55.Kb3 Ke6 56.Rxa7 Kd6 57.Ra6+ Kc7 58.c4 Re3+ 59.Ka4 Kb7 60.Ra5 Re4 61.c5 Kc6 62.Rb5 Re1 63.Rb6+ Kc7 64.Kb5 Rb1 65.Ra6 Kb7 66.c6+ Kc7 67.Ra4 Rd1 68.Ka6 Kxc6 69.b5+ Kc5 70.Ra5 Rb1 71.b6+ Kc6 72.Ra4 Rxb6+ 73.Ka5 Rb7 74.Ra3 Kc5 75.Rc3+ Kd4 76.Rc2 Kd3 77.Rc5 Kd4 78.Rc6 Kd5 79.Rc8 Ra7+ 80.Kb4 Ra1 81.Rc5+ Kd4 82.Rc4+ Kd3 83.Rc3+ Kd2 84.Kb3 Rb1+ 85.Kc4 Re1 86.Kd4 Rg1 87.Rb3 Rg4+ 88.Kd5 Kc2 89.Re3 Rg5+ 90.Kd6 Kd2 91.Ke6 Kxe3 92.Kf6 Kf4 93.Ke6 Ke4 94.Kd6 Kd4 95.Ke6 Rh5 96.Kf6 Kc4 97.Ke6 Ra5 98.Kd6 Kd4 99.Kc6 Ra6+ 100.Kb5 Rd6 0-1 "
"beta71","Live Chess","Chess.com","2014.12.13","Bob-wins-again","thinkboolean","0-1","1329","1303","5|0","thinkboolean won by resignation"," 1.e4 e6 2.e5 Nc6 3.d4 Nge7 4.Bb5 a6 5.Bxc6 bxc6 6.c4 Bb7 7.c5 Nd5 8.Qb3 Rb8 9.Qh3 Be7 10.Nf3 Ba8 11.O-O Rb4 12.a3 Rc4 13.b3 Rc2 14.a4 Nc3 15.Na3 Ne2+ 16.Kh1 Rc3 17.Bd2 Rxb3 18.Nc4 Nxd4 19.Qg3 Nxf3 20.gxf3 g6 21.Rac1 Bxc5 22.Na5 Ra3 23.Bg5 Be7 24.Bh6 c5 25.Rc4 Rxf3 26.Qg4 Rg3+ 27.f3 Rxg4 28.Rxg4 d6 29.Rd1 Qb8 30.exd6 Bxf3+ 0-1 "
"beta72","Live Chess","Chess.com","2014.12.13","thinkboolean","Bob-wins-again","0-1","1290","1336","5|0","Bob-wins-again won by resignation"," 1.e3 e6 2.Qg4 d5 3.Nc3 e5 4.Qa4+ Bd7 5.Bb5 c6 6.Bf1 b5 7.Qb3 a5 8.a3 a4 9.Qa2 Be6 10.b3 d4 11.Nxb5 axb3 12.Nd6+ Bxd6 13.cxb3 Na6 14.exd4 Nb4 15.Qb2 exd4 16.Qxd4 Nc2+ 0-1 "
"beta73","Live Chess","Chess.com","2014.12.13","Bob-wins-again","thinkboolean","1-0","1343","1279","5|0","Bob-wins-again won by checkmate"," 1.e4 e6 2.e5 Qg5 3.d4 Qf5 4.Bd3 Qxd3 5.Qxd3 Nc6 6.a3 Nge7 7.Bg5 Nf5 8.Nc3 Nfxd4 9.Ne4 f5 10.exf6 gxf6 11.Nxf6+ Kf7 12.c3 Nb3 13.Rd1 Bg7 14.Nxd7 Bxd7 15.Qxd7+ Kg6 16.Qxe6+ Kxg5 17.Qxb3 Rhe8+ 18.Kf1 Ne5 19.Nh3+ Kh5 20.Rd5 Kh6 21.Qxb7 Rab8 22.Qxc7 Rxb2 23.Qd6+ Ng6 24.Rd1 Bxc3 25.g4 Rb6 26.g5+ Kh5 27.Qc5 Nf4 28.Nxf4+ Kg4 29.Rg1+ Kxf4 30.Qxc3 Rg8 31.Rd4+ Kf5 32.Qc5+ Kg6 33.Rd6+ Kh5 34.Rxb6 axb6 35.Qxb6 Rxg5 36.Rxg5+ Kxg5 37.a4 h5 38.a5 h4 39.a6 h3 40.a7 Kg4 41.a8=Q Kf4 42.Qb4+ Ke5 43.Qaa5+ Ke6 44.Qbb6+ Kd7 45.Qaa7+ Kc8 46.Qe6+ Kd8 47.Qxh3 Ke8 48.Qh8# 1-0 "
"beta74","Live Chess","Chess.com","2014.12.13","thinkboolean","BlknightRising","0-1","1265","1261","5|0","BlknightRising won by resignation"," 1.e3 e5 2.Qg4 Nf6 3.Qa4 Bd6 4.Nf3 O-O 5.Bd3 Re8 6.Ng5 h6 7.Ne4 Be7 8.b3 Ng4 9.Bb2 d6 0-1 "
"beta75","Live Chess","Chess.com","2014.12.13","thinkboolean","checkintheblind","1-0","1278","1294","5|0","thinkboolean won by resignation"," 1.d3 e5 2.e3 d5 3.Qh5 Nc6 4.Nf3 Nf6 5.Qh4 Be7 6.Nc3 Ne4 7.Qh5 Nxc3 8.bxc3 e4 9.Ne5 O-O 10.f3 g6 11.Nxc6 bxc6 12.Qh6 exf3 13.Qf4 f2+ 14.Qxf2 d4 15.cxd4 Be6 16.Bb2 Bd5 17.e4 Be6 18.Be2 Bh4 19.g3 Bg5 20.h4 Bh6 21.g4 f5 22.g5 fxe4 23.Qe3 Bg7 24.dxe4 Re8 25.a3 Bd5 26.Bd3 c5 27.O-O-O cxd4 28.Bxd4 Bxd4 29.Qxd4 Bc6 30.Bc4+ Kf8 31.Rhf1+ Ke7 1-0 "
"beta76","Live Chess","Chess.com","2014.12.13","checkintheblind","thinkboolean","1-0","1302","1267","5|0","checkintheblind won by checkmate"," 1.e4 e6 2.Nh3 Qh4 3.Be2 Qxe4 4.O-O b6 5.Bf3 Qe5 6.d4 Qb5 7.Nc3 Qc4 8.Bxa8 c6 9.Ne4 Na6 10.b3 Qd5 11.Nhg5 h6 12.c4 Qf5 13.g4 Qa5 14.Bd2 Bb4 15.Bxb4 Qxb4 16.c5 hxg5 17.a3 Qa5 18.b4 Qb5 19.Nd6+ Kd8 20.Nxb5 cxb5 21.Be4 bxc5 22.dxc5 Nc7 23.c6 d5 24.f4 gxf4 25.Rxf4 Nf6 26.g5 Nh5 27.Rxf7 Rg8 28.Qxh5 dxe4 29.Rd1+ Nd5 30.Qh7 Re8 31.Qxg7 e5 32.Qf6+ Re7 33.Rxd5+ Ke8 34.Qxe7# 1-0 "
"beta77","Live Chess","Chess.com","2014.12.13","damchoe","thinkboolean","1-0","1315","1257","5|0","damchoe won by checkmate"," 1.e4 e6 2.d4 Qh4 3.Nc3 Nf6 4.Bd3 b6 5.Nf3 Qg4 6.O-O Bb7 7.Re1 Nh5 8.Ne5 Qh4 9.Re3 Bd6 10.Rh3 Qf6 11.Rxh5 g6 12.Bg5 Qg7 13.Bh6 Qf6 14.Rh3 Bxe5 15.dxe5 Qxe5 16.a4 d6 17.a5 Nd7 18.axb6 cxb6 19.Nb5 d5 20.exd5 Bxd5 21.Re3 Qb8 22.Bg7 Rg8 23.Bh6 Nf6 24.Bg5 Ng4 25.Rh3 h5 26.c4 a6 27.cxd5 axb5 28.Bxb5+ Kf8 29.Rxa8 Qxa8 30.dxe6 fxe6 31.Rf3+ Kg7 32.Qd4+ Kh7 33.Rf7+ Rg7 34.Qxg7# 1-0 "
"beta78","Live Chess","Chess.com","2014.12.13","thinkboolean","Aakashaa","1-0","1269","1269","5|0","thinkboolean won by resignation"," 1.e3 Nf6 2.Qf3 g6 3.Nc3 Bg7 4.d4 d5 5.Bd3 Bg4 6.Qg3 O-O 7.h3 Be6 8.Nb5 c6 9.Nc7 Nh5 10.Nxe6 fxe6 11.Qh2 Nd7 12.g4 Nhf6 13.Nf3 Ne4 14.Nh4 Rxf2 15.Qg1 Rf7 16.Rh2 Bf6 17.Nf3 Qf8 18.Bxe4 dxe4 19.Nd2 Bh4+ 20.Kd1 Rf1+ 21.Nxf1 Qf3+ 22.Kd2 Nb6 23.Kc3 Nd5+ 24.Kb3 a5 25.c4 a4+ 26.Kc2 Nb4+ 27.Kb1 Qd1 28.a3 Qc2+ 29.Rxc2 1-0 "
"beta79","Live Chess","Chess.com","2014.12.13","zatara123","thinkboolean","1-0","1244","1257","5|0","zatara123 won by checkmate"," 1.e4 e6 2.d4 Qh4 3.Nc3 Nf6 4.Bd3 Bd6 5.e5 Ng4 6.Qe2 Bb4 7.Nf3 Qh5 8.Bd2 Bxc3 9.Bxc3 b6 10.O-O-O O-O 11.h3 Nh6 12.g4 Nxg4 13.hxg4 Qxg4 14.Rdg1 Qf4+ 15.Bd2 Qxf3 16.Qxf3 Nc6 17.Rxh7 g6 18.Qh3 f5 19.Rh8+ Kf7 20.Qh7+ Ke8 21.Qxg6+ Ke7 22.Bg5+ Rf6 23.Bxf6# 1-0 "
"beta80","Live Chess","Chess.com","2014.12.13","arion_delaisladelesb","thinkboolean","1-0","1233","1246","5|0","arion_delaisladelesb won by checkmate"," 1.Nf3 e6 2.e3 Qf6 3.d4 Nc6 4.Be2 b6 5.Nc3 Bd6 6.Ne4 Qg6 7.Nxd6+ cxd6 8.Qd3 Qxg2 9.Rg1 Qh3 10.Rxg7 Nf6 11.Rg1 Ng4 12.Bd2 Nxh2 13.O-O-O Nxf3 14.Bxf3 Qxf3 15.e4 Qf6 16.d5 Ne5 17.Qe3 Nc4 18.Qc3 Ke7 19.Qxf6+ Kxf6 20.Bg5+ Ke5 21.dxe6 dxe6 22.f4+ Kxe4 23.b3 Na3 24.Rxd6 Kf5 25.Rc6 Rd8 26.Rc7 Rd4 27.Rxf7+ Kg6 28.Rf6+ Kg7 29.Bh4+ Kh8 30.Rf8# 1-0 "
"beta81","Live Chess","Chess.com","2014.12.13","thinkboolean","tbshah","0-1","1237","1302","5|0","tbshah won by checkmate"," 1.e3 d5 2.Qh5 Nf6 3.Qh4 e5 4.Nc3 Be7 5.Nf3 Ne4 6.Qh5 g6 7.Qxe5 O-O 8.Nxe4 dxe4 9.Qxe4 Bf5 10.Qc4 Nc6 11.e4 Be6 12.Qe2 Nd4 13.Qd1 Bg4 14.d3 Bxf3 15.gxf3 c6 16.c3 Ne6 17.d4 Qc7 18.e5 Rad8 19.Bd3 c5 20.Bc4 cxd4 21.Bxe6 fxe6 22.cxd4 Bc5 23.Be3 Bb4+ 24.Kf1 b6 25.Kg2 Be7 26.Rc1 Qd7 27.a3 Qe8 28.b4 Qf7 29.b5 Qf5 30.a4 Bg5 31.h4 Bxe3 32.fxe3 Rc8 33.Rc6 Rcd8 34.e4 Qf4 35.Rh3 Rf7 36.Qb3 Qd2+ 37.Kg3 Qf4+ 38.Kg2 Rxd4 39.Rc8+ Kg7 40.Re8 Rd2+ 41.Kf1 Rd4 42.Ke2 Qd2+ 43.Kf1 Qc1+ 44.Kg2 Rd2+ 45.Kg3 Qg1# 0-1 "
